 Id, Name, Attachments,Attachments NEU, Description,Description NEU, Feature Version,Feature Version NEU, Module,Module NEU, Precondition,Precondition NEU, Repository,Repository NEU, Requirements,Requirements NEU, Test Steps,Test Steps NEU
TC-5921,Sicht duplizieren (Tabelle),,,,,7.11,7.11,MD-2405 Sichten verändern,MD-2405 Sichten verändern,,,Dev,DEMO (9.4.127),,"1. Cadenza Web wurde gestartet (localhost:8080/cadenza) 
2. Anmeldedaten (Admin/Admin) wurden eingegeben","1) Öffne Arbeitsmappe ""AutomobileWorkbook"".
Expected result: Die Arbeitsmappe wird geöffnet, der Analysekontext ist nicht sichtbar.
2) Klicke auf den 3-Punkte-Button innerhalb der Tabellen-Sicht ""Collection Automobile""
Expected result: Kontextmenü erscheint mit den Optionen:

- Duplizieren

- In Arbeitsblatt duplizieren

- Exportieren

- Designer öffnen

- Löschen

3) Klicke auf ""Duplizieren""
Expected result: Das Kontextmenü schließt sich

Die Sicht ist dupliziert.

Die duplizierte Sicht erscheint neben der original Sicht.

Beide Sichten teilen sich in gleichen Maßen den Platz der Original-Sicht","1) Öffne die Arbeitsmappe ""Übersicht Messstellen"" im Ordner ""Gewässergüte"".
Expected result: Die Arbeitsmappe wird geöffnet, der Analysekontext ist nicht sichtbar.

2) Öffnen der Tabellen-Sicht ""Messstellenliste"" über die Werkzeugliste der Arbeitsmappe.
Expected result: Die Tabelle ""Messstelleninformationen"" wird angezeigt, der Analysekontext ist sichtbar.

3) Klicke auf den 3-Punkte-Button innerhalb der Tabellen-Sicht ""Messstelleninformationen""
Expected result: Kontextmenü erscheint mit den Optionen:
- Duplizieren
- In Arbeitsblatt duplizieren
- Exportieren
- Designer öffnen
- Löschen

3) Klicke auf ""Duplizieren""
Expected result: Das Kontextmenü schließt sich. Die Sicht ist dupliziert.
Die duplizierte Sicht erscheint neben der Original-Sicht.
Beide Sichten teilen sich in gleichen Maßen den Platz der Original-Sicht."
TC-5941,Neue Arbeitsmappe erstellen,,,,,7.11,7.11,MD-4912 neue Arbeitsmappe erstellen,MD-4912 neue Arbeitsmappe erstellen,,,Dev,DEMO (9.4.127),,"1. Cadenza Web wurde gestartet (localhost:8080/cadenza) 
2. Anmeldedaten (Admin/Admin) wurden eingegeben","1) Klicke im Navigator auf ""Arbeitsmappe erstellen"" und wähle Repository ""Gewaesser"".
Expected result: Eine leere Arbeitsmappe ist erstellt und eine leere Ansicht geöffnet. Datenmanager und Designer sind eingeblendet.","1) Klicke im Navigator auf das Buch-Symbol  ""Neue Arbeitsmappe"" und wähle Repository ""Gewaesser"".
Expected result: Eine leere Arbeitsmappe wird erstellt und eine leere Ansicht geöffnet. Datenmanager und Designer sind eingeblendet."
TC-5948,Arbeitsmappe löschen,,,,,7.11,7.11,MD-3366 Allgemein Arbeitsmappe,MD-3366 Allgemein Arbeitsmappe,"Cadenza Web installiert und gestartet

Eine beliebige Arbeitsmappe die gelöscht werden kann ist erstellt.","Cadenza Web installiert und gestartet

Eine beliebige Arbeitsmappe, die gelöscht werden kann, ist erstellt.",Dev,DEMO (9.4.127),,"1. Cadenza Web wurde gestartet (localhost:8080/cadenza) 
2. Anmeldedaten (Admin/Admin) wurden eingegeben","1) Öffne den Navigator undKlicke auf die drei Punkte für weitere Aktionen.
Expected result: Der Dialog für weitere Aktionen ist geöffnet.
2) Klicke auf ""Löschen"".
Expected result: Der Dialog zum Löschen ist geöffnet, der Nutzer wird gefragt ob er wirklich löschen möchte.
3) Klicke auf ""Löschen"".
Expected result: Die Arbeitsmappe ist nicht mehr sichtbar, die Startseite von Cadenza geöffnet.
4) Öffne den Navigator und scrolle zum vorherigen Ort der gelöschten Arbeitsmappe.
Expected result: Die Arbeitsmappe ist nicht mehr sichtbar.","1) Öffne den Navigator, öffne einen Ordner mit einer Arbeitsmappe und klicke neben dem Namen der Arbeitsmappe  auf die drei Punkte für weitere Aktionen.
Expected result: Der Dialog für weitere Aktionen ist geöffnet.

2) Klicke auf ""Löschen"".
Expected result: Der Dialog zum Löschen ist geöffnet, der Nutzer wird gefragt ob er wirklich löschen möchte.

3) Klicke auf ""Arbeitsmappe löschen"".
Expected result: Die Arbeitsmappe ist nicht mehr sichtbar, die Startseite von Cadenza geöffnet.

4) Öffne den Navigator und scrolle zum vorherigen Ort der gelöschten Arbeitsmappe.
Expected result: Die Arbeitsmappe ist nicht mehr sichtbar."
TC-5953,Arbeitsblatt löschen,,,,,7.11,7.11,MD-3477 Löschen ,MD-3477 Löschen ,Workbook mit einem oder mehreren Arbeitsblättern ist geöffnet,Arbeitsmappe mit einem oder mehreren Arbeitsblättern ist geöffnet,Dev,DEMO (9.4.127),,"1. Cadenza Web wurde gestartet (localhost:8080/cadenza) 
2. Anmeldedaten (Admin/Admin) wurden eingegeben","1) Klicke auf Den ""Arbeitsblatt 1"" button.
Expected result: Fenster öffnet sich.
2) Klicke auf ""Neues Arbeitsblatt""
Expected result: Fenster zum bennen des Arbeitsblattes öffnet sich.
3) Klicke auf ""Hinzufügen"".
Expected result: Das neue Arbeitsblatt wird angelegt.
4) Klicke auf den ""Arbeitsblatt 2"" button und danach auf ""Arbeitsblätter verwalten"".
Expected result: ""Manage worksheets"" Fenster öffnet sich.
5) Gehe mit der Maus auf das Arbeitsblatt was nicht gerade geöffnet ist.
Expected result: Die Spalte wird grau hervorgehoben, ein Stift und Mülleimer Symbol erscheint.
6) Klicke auf den Mülleimer button.
Expected result: Das ausgewählte Arbeitsblatt wird gelöscht.
","1) Öffne die Arbeitsmappe ""Übersicht Messstellen"" im Ordner ""Gewässergüte"".
Expected result: Die Arbeitsmappe wird geöffnet, der Analysekontext ist nicht sichtbar.

2) Klicke auf ""Informationen zur Arbeitsmappe"" in der Navigatorleiste.
Expected result: Fenster öffnet sich.

3) Klicke auf ""Neues Arbeitsblatt""
Expected result: Fenster ""Arbeitsblatt hinzufügen"" zum Benennen des Arbeitsblattes öffnet sich.

4) Klicke auf ""Hinzufügen"".
Expected result: Das neue Arbeitsblatt wird angelegt.

4) Klicke auf den Namen des gerade angelegten Arbeitsblatts in der Navigatorleiste und danach ganz unten auf ""Arbeitsblätter verwalten"".
Expected result: Fenster ""Arbeitsmappe verwalten"" öffnet sich.

5) Gehe mit der Maus auf ein Arbeitsblatt was nicht gerade geöffnet ist.
Expected result: Die Spalte wird grau hervorgehoben, ein Stift und Mülleimer-Symbol erscheint.

6) Klicke auf das Mülleimer-Symbol.
Expected result: Das ausgewählte Arbeitsblatt wird gelöscht.
"
TC-6143,Diagramm-Sicht duplizieren,,,,,7.11,7.11,MD-2494 Sicht verwalten,MD-2494 Sicht verwalten,"
","
",Dev,DEMO (9.4.127),,"1. Cadenza Web wurde gestartet (localhost:8080/cadenza) 
2. Anmeldedaten (Admin/Admin) wurden eingegeben","1) Öffne Arbeitsmappe ""AutomobileWorkbook"".
Expected result: Die Arbeitsmappe wird geöffnet, der Analysekontext ist nicht sichtbar.
2) Klicke auf den 3-Punkte-Button innerhalb der Diagramm-Sicht ""Collection Automobile: Registered nach Country Name""
Expected result: Kontextmenü erscheint mit den Optionen:

- Duplizieren

- In Arbeitsblatt duplizieren

- Exportieren

- Designer öffnen

- Löschen

3) Klicke auf ""Duplizieren""
Expected result: Das Kontextmenü schließt sich

Die Sicht ist dupliziert.

Die duplizierte Sicht erscheint neben der original Sicht.

Beide Sichten teilen sich in gleichen Maßen den Platz der Original-Sicht","1) Öffne die Arbeitsmappe ""Übersicht Messstellen"" im Ordner ""Gewässergüte"".
Expected result: Die Arbeitsmappe wird geöffnet, der Analysekontext ist nicht sichtbar.

2) Öffne das Arbeitsblatts ""Häufigkeit der Messungen"" über die Navigatorleiste
Expected result: Das Tabellenblatt angezeigt, der Analysekontext ist sichtbar.

3) Klicke auf die Diagramm-Sicht ""Anzahl der Messungen pro Jahr"" 
Expected result: Das Diagramm wird farblich hervorgehoben

4) Klicke auf den 3-Punkte-Button innerhalb der Diagramm-Sicht ""Anzahl der Messungen pro Jahr""
Expected result: Kontextmenü erscheint mit den Optionen:
- Duplizieren
- In Arbeitsblatt duplizieren
- Designer öffnen
- Löschen

5) Klicke auf ""Duplizieren""
Expected result: Das Kontextmenü schließt sich
Die Sicht ist dupliziert. Die duplizierte Sicht erscheint neben der original Sicht.
Beide Sichten teilen sich in gleichen Maßen den Platz der Original-Sicht"
TC-6157,Indikator-Sicht duplizieren,,,,,,,MD-2503 Sicht verwalten,MD-2503 Sicht verwalten,,,Dev,DEMO (9.4.127),,"1. Cadenza Web wurde gestartet (localhost:8080/cadenza) 
2. Anmeldedaten (Admin/Admin) wurden eingegeben","1) Öffne Arbeitsmappe ""AutomobileWorkbook"".
Expected result: Die Arbeitsmappe wird geöffnet, der Analysekontext ist nicht sichtbar.
2) Klicke auf den 3-Punkte-Button innerhalb der Indikator-Sicht ""Collection Automobile""
Expected result: Kontextmenü erscheint mit den Optionen:

- Duplizieren

- In Arbeitsblatt duplizieren

- Designer öffnen

- Löschen

3) Klicke auf ""Duplizieren""
Expected result: Das Kontextmenü schließt sich

Die Sicht ist dupliziert.

Die duplizierte Sicht erscheint neben der original Sicht.

Beide Sichten teilen sich in gleichen Maßen den Platz der Original-Sicht","1) Öffne die Arbeitsmappe ""Übersicht Messstellen"" im Ordner ""Gewässergüte"".
Expected result: Die Arbeitsmappe wird geöffnet, der Analysekontext ist nicht sichtbar.

2) Öffne das Arbeitsblatts ""Häufigkeit der Messungen"" über die Navigatorleiste
Expected result: Das Arbeitsblatt wird angezeigt.

3) Klicke auf die Indikator-Sicht ""402 611 Messungen gesamt"" 
Expected result: Der Indikator wird farblich hervorgehoben

4) Klicke auf den 3-Punkte-Button innerhalb der Indikator-Sicht ""402 611 Messungen gesamt""
Expected result: Kontextmenü erscheint mit den Optionen:
- Maximieren
- Duplizieren
- In Arbeitsblatt duplizieren
- Designer öffnen
- Löschen

5) Klicke auf ""Duplizieren""
Expected result: Das Kontextmenü schließt sich
Die Sicht ist dupliziert. Die duplizierte Sicht erscheint an einem anderen Platz im Arbeitsblatt
Beide Sichten haben die gleiche Größe."
TC-6362,[e2e] Neue Sicht im Workbook erstellen - Text,,,,,7.11,7.11,MD-2611 Text,MD-2611 Text,Eine Arbeitsmappe wurde erstellt oder importiert wie in TC-12604 [e2e]Arbeitsmappe importieren <https://qtest.disy.net/p/3/portal/project#tab=testdesign&object=1&id=15084>,Eine Arbeitsmappe wurde erstellt oder importiert wie in TC-12604,Dev,DEMO (9.4.127),,"1. Cadenza Web wurde gestartet (localhost:8080/cadenza) 
2. Anmeldedaten (Admin/Admin) wurden eingegeben","1) Öffne die Arbeitsmappe
Expected result: Arbeitsmappe ist geöffnet und das erste Arbeitsblatt wird angezeigtt.
2) Klicke oben rechts auf ""Neue Sicht""
Expected result: Ein Kontextmenü öffnet sich
3) Klicke auf ""Text""
Expected result: Eine Textsicht wird dem Arbeitsblatt des Workbooks hinzugefügt","1) Öffne die importierte Arbeitsmappe oder alternativ die Arbeitsmappe ""Gewässergüte"" im Ordner ""Gewässergüte"".
Expected result: Arbeitsmappe ist geöffnet und das erste Arbeitsblatt wird angezeigt.

2) Klicke oben rechts auf ""Neue Sicht""
Expected result: Ein Kontextmenü öffnet 

3) Klicke auf ""Text"" unter ""Statische Sicht""
Expected result: Eine Textsicht wird dem Arbeitsblatt des Workbooks hinzugefügt"
TC-6372,Datenmanager anzeigen/ausblenden,,,,,7.11,7.11,MD-3568 Allgemein,MD-3568 Allgemein,,,Dev,DEMO (9.4.127),,"1. Cadenza Web wurde gestartet (localhost:8080/cadenza) 
2. Anmeldedaten (Admin/Admin) wurden eingegeben","1) Öffne Arbeitsmappe ""AutomobileWorkbook"".
Expected result: Die Arbeitsmappe wird geöffnet, der Datenmanager ist sichtbar.
2) Klicke auf X im Datenmanager.
Expected result: Der Datenmanager wird ausgeblendet.
3) Klicke auf das Datenmanagersymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Datenmanager wird eingeblendet.

4) Klicke auf das Datenmanagersymbol in der Werkzeugleiste der Arbeitsmappe.

Expected result: Der Datenmanager wird ausgeblendet.
","1) Öffne die Arbeitsmappe ""Übersicht Messstellen"" im Ordner ""Gewässergüte"".
Expected result: Die Arbeitsmappe wird geöffnet, der Analysekontext ist nicht sichtbar.

2) Öffne das Arbeitsblatts ""Häufigkeit der Messungen"" über die Navigatorleiste
Expected result: Das Arbeitsblatt angezeigt

3) Klicke auf das Datenmanagersymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Datenmanager wird eingeblendet.

4) Klicke auf X im Datenmanager.
Expected result: Der Datenmanager wird ausgeblendet.

5) Klicke erneut auf das Datenmanagersymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Datenmanager wird eingeblendet.

6) Klicke auf das Datenmanagersymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Datenmanager wird eingeblendet.
"
TC-6381,Analysekontext anzeigen/ausblenden,,,,,7.11,7.11,MD-4755 Geöffnet/Geschlossen Status,MD-4755 Geöffnet/Geschlossen Status,,,Dev,DEMO (9.4.127),,"1. Cadenza Web wurde gestartet (localhost:8080/cadenza) 
2. Anmeldedaten (Admin/Admin) wurden eingegeben","1) Öffne Arbeitsmappe ""AutomobileWorkbook"".
Expected result: Die Arbeitsmappe wird geöffnet, der Analysekontext ist nicht sichtbar.
2) Klicke auf das Analysekontextsymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Analysekontext wird eingeblendet.
3) Klicke auf X im Analysekontext.

Expected result: Der Analysekontext wird ausgeblendet.
4) Klicke auf das Analysekontextsymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Analysekontext wird eingeblendet.","1) Öffne die Arbeitsmappe ""Übersicht Messstellen"" im Ordner ""Gewässergüte"".
Expected result: Die Arbeitsmappe wird geöffnet, der Analysekontext ist nicht sichtbar.

2) Klicke auf das Analysekontextsymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Analysekontext wird eingeblendet.

3) Klicke auf X im Analysekontext.
Expected result: Der Analysekontext wird ausgeblendet.

4) Klicke erneut auf das Analysekontextsymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Analysekontext wird eingeblendet.

5) Klicke auf das Analysekontextsymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Analysekontext wird ausgeblendet"
TC-6492,Designer einblenden/ausblenden,,,,,7.11,7.11,MD-4670 Allgemein,MD-4670 Allgemein,,,Dev,DEMO (9.4.127),,"1. Cadenza Web wurde gestartet (localhost:8080/cadenza) 
2. Anmeldedaten (Admin/Admin) wurden eingegeben","1) Öffne Arbeitsmappe ""AutomobileWorkbook"".

Expected result: Die Arbeitsmappe wird geöffnet, der Designer ist sichtbar.

2) Klicke auf X im Designer.
Expected result: Der Designer wird ausgeblendet.
3) Klicke auf das Designersymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Designer wird eingeblendet.
4) Klicke auf das Designersymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Designer wird ausgeblendet.
","1) Öffne die Arbeitsmappe ""Übersicht Messstellen"" im Ordner ""Gewässergüte"" und klicke auf eine beliebige Sicht.
Expected result: Die Arbeitsmappe wird geöffnet, die Sicht wird farblich hervorgehoben.

2) Klicke auf das Designersymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Designer wird eingeblendet.

3) Klicke auf X im Designer.
Expected result: Der Designer wird ausgeblendet.

4) Klicke erneut auf das Designersymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Designer wird eingeblendet.

5) Klicke auf das Designersymbol in der Werkzeugleiste der Arbeitsmappe.
Expected result: Der Designer wird ausgeblendet.
"
